date,securityName,weight,Sector,wgtSector
5/22/2026,\"Sunrun Inc\",0.0015771,Industrials,0.3711180
5/22/2026,\"NVENT ELECTRIC PLC USD0.01\",0.0015737,Industrials,0.3711180
5/22/2026,\"Nexans SA\",0.0015214,Industrials,0.3711180
5/22/2026,\"Aerovironment Inc\",0.0015087,Industrials,0.3711180
5/22/2026,\"YELLOW CAKE PLC GBP NPV\",0.0015069,Industrials,0.3711180
5/22/2026,\"CAMEL GROUP CO CNY 1.000000000\",0.0015048,Industrials,0.3711180
5/22/2026,\"SAAB AB-B SEK NPV\",0.0014604,Industrials,0.3711180
5/22/2026,\"Fortune Electric Co Ltd\",0.0014297,Industrials,0.3711180
5/22/2026,\"Hanwha Systems Co Ltd\",0.0014218,Industrials,0.3711180
5/22/2026,\"Atkinsrealis Group Inc\",0.0013868,Industrials,0.3711180
5/22/2026,\"CNGR ADVANCED MATERIAL CO -A CNY 1.0000\",0.0013474,Industrials,0.3711180
5/22/2026,\"Fluence Energy Inc\",0.0013030,Industrials,0.3711180
5/22/2026,\"Karman Holdings Inc\",0.0012987,Industrials,0.3711180
5/22/2026,\"DASSAULT AVIATION EUR 0.8\",0.0012976,Industrials,0.3711180
5/22/2026,\"ITM POWER PLC GBp 5.0000\",0.0012183,Industrials,0.3711180
5/22/2026,\"CS Wind Corp\",0.0012093,Industrials,0.3711180
5/22/2026,\"HYUNDAI HEAVY INDUSTRIES CO KRW 5000.0000\",0.0012072,Industrials,0.3711180
5/22/2026,\"Exail Technologies\",0.0011748,Industrials,0.3711180
5/22/2026,\"Allient Inc\",0.0011618,Industrials,0.3711180
5/22/2026,\"Kratos Defense  Security Solu\",0.0011542,Industrials,0.3711180
5/22/2026,\"SKF AB\",0.0011361,Industrials,0.3711180
5/22/2026,\"Fluor Corp\",0.0011179,Industrials,0.3711180
5/22/2026,\"Singapore Technologies Engineering Ltd\",0.0010815,Industrials,0.3711180
5/22/2026,\"Sterling Construction Co Inc\",0.0010599,Industrials,0.3711180
5/22/2026,\"Taihan Electric Wire Co Ltd\",0.0010557,Industrials,0.3711180
5/22/2026,\"Powell Industries Inc\",0.0010256,Industrials,0.3711180
5/22/2026,\"Hainan Jinpan Smart Techno-A\",0.0009801,Industrials,0.3711180
5/22/2026,\"Satrec Initiative Co Ltd\",0.0009570,Industrials,0.3711180
5/22/2026,\"Daewoo Shipbuilding  Marine E\",0.0009387,Industrials,0.3711180
5/22/2026,\"Strabag SE\",0.0009306,Industrials,0.3711180
5/22/2026,\"Sanil Electric Co Ltd\",0.0009195,Industrials,0.3711180
5/22/2026,\"Windey Energy Technology G-A\",0.0009084,Industrials,0.3711180
5/22/2026,\"ASTOR TRANSFORMATOR ENERJI T\",0.0008953,Industrials,0.3711180
5/22/2026,\"Toyo Tanso Co Ltd\",0.0008767,Industrials,0.3711180
5/22/2026,\"NINGBO ORIENT WIRES \u0026 CABL-A CNY 1.0000\",0.0008499,Industrials,0.3711180
5/22/2026,\"LG ENERGY SOLUTION KRW 500.0000\",0.0008472,Industrials,0.3711180
5/22/2026,\"Balfour Beatty PLC\",0.0008430,Industrials,0.3711180
5/22/2026,\"Andritz AG\",0.0008318,Industrials,0.3711180
5/22/2026,\"Satellogic Inc-A\",0.0008313,Industrials,0.3711180
5/22/2026,\"Timken Co\",0.0008174,Industrials,0.3711180
5/22/2026,\"Droneshield Ltd\",0.0007965,Industrials,0.3711180
5/22/2026,\"LS Corp\",0.0007929,Industrials,0.3711180
5/22/2026,\"MINMETALS NEW ENERGY MATERIALS(HUNAN) CO LTD CNY 1\",0.0007767,Industrials,0.3711180
5/22/2026,\"Eiffage SA\",0.0007697,Industrials,0.3711180
5/22/2026,\"FAR EAST SMART CNY 1.000000000\",0.0007199,Industrials,0.3711180
5/22/2026,\"Richtech Robotics Inc-Cl B\",0.0007159,Industrials,0.3711180
5/22/2026,\"LS Electric\",0.0007021,Industrials,0.3711180
5/22/2026,\"Nabtesco Corp\",0.0006888,Industrials,0.3711180
5/22/2026,\"Argan Inc\",0.0006873,Industrials,0.3711180
5/22/2026,\"Fuji Electric Holdings Co Ltd\",0.0006803,Industrials,0.3711180
